,name,nobjquadnegev,nintvars,nnlvars,nsos1,nsos2,conscurvature,njacobiannz,nlaghessiandiagnz,ncontvars,nquadfunc,laghessianmaxblocksize,objsense,nbinvars,nlnz,convex,nz,nobjquadposev,laghessianminblocksize,nobjquadnz,solsource,nlaghessianblocks,donor,nsemi,nlaghessiannz,laghessianavgblocksize,ncons,nconcavenlcons,nnlbinvars,nconvexnlcons,nquadcons,nvars,nobjnlnz,solinfeasibility,objcurvature,nindefinitenlcons,nnlintvars,ndiagquadcons,nnlsemi,nobjnz,nlincons,nsingleboundedvars,nlinfunc,nboundedvars,njacobiannlnz,nobjquaddiagnz,objtype,probtype,solobjvalue,nnlfunc,density,nldensity,objquaddensity,objquadproblevfrac
1,QPLIB_0031,11.0,0.0,30.0,0.0,0.0,linear,120.0,30.0,30.0,1.0,30.0,min,30.0,30.0,0.0,150.0,19.0,30.0,464.0,Solution found by ALPHAECP,1.0,Andrea Scozzari,0.0,898.0,30.0,32.0,0.0,0.0,0.0,0.0,60.0,30.0,0.0,indefinite,0.0,0.0,0.0,0.0,30.0,32.0,30.0,32.0,0.0,0.0,30.0,quadratic,QML,15.38637379,1.0,0.0757575757576,1.0,0.997777777778,0.183333333333
2,QPLIB_0032,25.0,0.0,50.0,0.0,0.0,linear,200.0,50.0,50.0,1.0,50.0,min,50.0,50.0,0.0,250.0,25.0,50.0,1274.0,Solution found by ALPHAECP,1.0,Andrea Scozzari,0.0,2498.0,50.0,52.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,indefinite,0.0,0.0,0.0,0.0,50.0,52.0,50.0,52.0,0.0,0.0,50.0,quadratic,QML,10.12639121,1.0,0.0471698113208,1.0,0.9992,0.25
3,QPLIB_0067,38.0,0.0,80.0,0.0,0.0,linear,80.0,0.0,0.0,1.0,80.0,min,80.0,80.0,0.0,160.0,42.0,80.0,2844.0,Solution found by SCIP,1.0,Ghaddar,0.0,5688.0,80.0,1.0,0.0,80.0,0.0,0.0,80.0,80.0,0.0,indefinite,0.0,0.0,0.0,0.0,80.0,1.0,0.0,1.0,0.0,0.0,0.0,quadratic,QBL,-110942.0,1.0,1.0,1.0,0.88875,0.475
5,QPLIB_0633,44.0,0.0,75.0,0.0,0.0,linear,75.0,0.0,0.0,1.0,75.0,min,75.0,75.0,0.0,150.0,31.0,75.0,2775.0,Solution found by LOCALSOLVER,1.0,Lima and Grossmann,0.0,5550.0,75.0,1.0,0.0,75.0,0.0,0.0,75.0,75.0,0.0,indefinite,0.0,0.0,0.0,0.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,quadratic,QBL,79.56070622,1.0,1.0,1.0,0.986666666667,0.586666666667
6,QPLIB_0678,0.0,0.0,1697.0,0.0,0.0,indefinite,39160.0,0.0,5537.0,960.0,1697.0,min,9600.0,4700.0,0.0,40120.0,0.0,1697.0,0.0,,1.0,MacMinlp,0.0,7480.0,1697.0,8417.0,0.0,0.0,0.0,960.0,15137.0,0.0,,linear,960.0,0.0,0.0,0.0,960.0,7457.0,0.0,7458.0,737.0,4700.0,0.0,linear,LMQ,,960.0,0.000314856158215,0.00288499312512,0.0,0.0
7,QPLIB_0681,0.0,0.0,100.0,0.0,0.0,indefinite,1647.0,0.0,143.0,48.0,10.0,max,72.0,512.0,0.0,1789.0,0.0,5.0,0.0,Solution found by SCIP,12.0,Maria Saumell,0.0,416.0,8.333333,467.0,0.0,0.0,0.0,48.0,215.0,0.0,1.749405308e-11,linear,48.0,0.0,0.0,0.0,142.0,419.0,0.0,420.0,100.0,512.0,0.0,linear,LMQ,45.24444817,48.0,0.0177797654542,0.106666666667,0.0,0.0
8,QPLIB_0682,0.0,0.0,148.0,0.0,0.0,indefinite,2468.0,0.0,190.0,96.0,14.0,max,71.0,1024.0,0.0,2608.0,0.0,9.0,0.0,Solution found by SCIP,12.0,Maria Saumell,0.0,832.0,12.333333,597.0,0.0,0.0,0.0,96.0,261.0,0.0,5.9752348470000004e-15,linear,96.0,0.0,0.0,0.0,140.0,501.0,0.0,502.0,148.0,1024.0,0.0,linear,LMQ,39.6096563,96.0,0.016709593921,0.0720720720721,0.0,0.0
9,QPLIB_0684,0.0,0.0,204.0,0.0,0.0,indefinite,3710.0,0.0,260.0,128.0,14.0,max,101.0,1504.0,0.0,3912.0,0.0,9.0,0.0,Solution found by ANTIGONE,16.0,Maria Saumell,0.0,1216.0,12.75,943.0,0.0,0.0,0.0,128.0,361.0,0.0,3.219646771e-15,linear,128.0,0.0,0.0,0.0,202.0,815.0,0.0,816.0,204.0,1504.0,0.0,linear,LMQ,9.2266,128.0,0.011479412179,0.0575980392157,0.0,0.0
10,QPLIB_0685,0.0,0.0,364.0,0.0,0.0,indefinite,6979.0,0.0,519.0,192.0,12.0,max,256.0,2568.0,0.0,7475.0,0.0,7.0,0.0,,32.0,Maria Saumell,0.0,2064.0,11.375,1795.0,0.0,0.0,0.0,192.0,775.0,0.0,,linear,192.0,0.0,0.0,0.0,496.0,1603.0,0.0,1604.0,364.0,2568.0,0.0,linear,LMQ,,192.0,0.00537035706588,0.0367445054945,0.0,0.0
11,QPLIB_0686,0.0,0.0,1100.0,0.0,0.0,indefinite,21551.0,0.0,1512.0,640.0,14.0,max,692.0,9184.0,0.0,22837.0,0.0,9.0,0.0,,80.0,Maria Saumell,0.0,7360.0,13.75,5080.0,0.0,0.0,0.0,640.0,2204.0,0.0,,linear,640.0,0.0,0.0,0.0,1286.0,4440.0,0.0,4441.0,1100.0,9184.0,0.0,linear,LMQ,,640.0,0.00203928660598,0.0130454545455,0.0,0.0
12,QPLIB_0687,0.0,0.0,1260.0,0.0,0.0,indefinite,25199.0,0.0,1651.0,800.0,16.0,max,672.0,11480.0,0.0,26445.0,0.0,11.0,0.0,,80.0,Maria Saumell,0.0,9200.0,15.75,5675.0,0.0,0.0,0.0,800.0,2323.0,0.0,,linear,800.0,0.0,0.0,0.0,1246.0,4875.0,0.0,4876.0,1260.0,11480.0,0.0,linear,LMQ,,800.0,0.00200563534614,0.0113888888889,0.0,0.0
13,QPLIB_0688,0.0,0.0,3128.0,0.0,0.0,indefinite,92143.0,0.0,3824.0,1600.0,20.0,max,1964.0,41200.0,0.0,95695.0,0.0,11.0,0.0,,160.0,Maria Saumell,0.0,30560.0,19.55,22168.0,0.0,0.0,0.0,1600.0,5788.0,0.0,,linear,1600.0,0.0,0.0,0.0,3552.0,20568.0,0.0,20569.0,3128.0,41200.0,0.0,linear,LMQ,,1600.0,0.000745786677406,0.0082320971867,0.0,0.0
14,QPLIB_0689,0.0,0.0,804.0,0.0,0.0,indefinite,32023.0,0.0,1112.0,288.0,20.0,max,756.0,8568.0,0.0,33363.0,0.0,7.0,0.0,Solution found by SCIP,48.0,Maria Saumell,0.0,6192.0,16.75,10088.0,0.0,0.0,0.0,288.0,1868.0,0.0,3.3306690739999997e-16,linear,288.0,0.0,0.0,0.0,1340.0,9800.0,0.0,9801.0,804.0,8568.0,0.0,linear,LMQ,112.42,288.0,0.00177027241279,0.0370024875622,0.0,0.0
15,QPLIB_0690,0.0,0.0,8688.0,0.0,0.0,indefinite,407245.0,0.0,10048.0,3200.0,28.0,max,6428.0,155360.0,0.0,419104.0,0.0,11.0,0.0,Solution found by ALPHAECP,320.0,Maria Saumell,0.0,109760.0,27.15,115600.0,0.0,0.0,0.0,3200.0,16476.0,0.0,4.440892099e-16,linear,3200.0,0.0,0.0,0.0,11859.0,112400.0,0.0,112401.0,8688.0,155360.0,0.0,linear,LMQ,226.49,3200.0,0.000220043442955,0.00558816758748,0.0,0.0
16,QPLIB_0696,0.0,0.0,130.0,0.0,0.0,indefinite,2427.0,0.0,207.0,33.0,13.0,min,187.0,930.0,0.0,2791.0,0.0,13.0,0.0,Solution found by ANTIGONE,10.0,MINLPLIB,0.0,600.0,13.0,423.0,0.0,0.0,0.0,33.0,394.0,0.0,7.275957614e-12,linear,33.0,0.0,0.0,0.0,364.0,390.0,0.0,391.0,130.0,930.0,0.0,linear,LMQ,1091160.649,33.0,0.0167069725122,0.216783216783,0.0,0.0
17,QPLIB_0698,0.0,0.0,28.0,0.0,0.0,indefinite,633.0,0.0,63.0,15.0,7.0,min,55.0,156.0,0.0,739.0,0.0,7.0,0.0,Solution found by LINDO,4.0,MINLPLIB,0.0,96.0,7.0,141.0,0.0,0.0,0.0,15.0,118.0,0.0,1.673470251e-10,linear,15.0,0.0,0.0,0.0,106.0,126.0,0.0,127.0,28.0,156.0,0.0,linear,LMQ,1086187.137,15.0,0.0441036046789,0.371428571429,0.0,0.0
18,QPLIB_0752,125.0,0.0,250.0,0.0,0.0,linear,250.0,20.0,0.0,1.0,250.0,max,250.0,250.0,0.0,500.0,125.0,250.0,3134.0,Solution found by GUROBI,1.0,Nick Sahinidis,0.0,6248.0,250.0,1.0,0.0,250.0,0.0,0.0,250.0,250.0,0.0,indefinite,0.0,0.0,0.0,0.0,250.0,1.0,0.0,1.0,0.0,0.0,20.0,quadratic,QBL,24071.0,1.0,1.0,1.0,0.099968,0.5
33,QPLIB_10013,0.0,0.0,10800.0,0.0,0.0,indefinite,169943.0,10800.0,18106.0,3600.0,1.0,min,3600.0,10800.0,0.0,184343.0,0.0,1.0,0.0,Solution found by GUROBI,10800.0,Fabio Furini and Antonio Frangioni,0.0,10800.0,1.0,59568.0,0.0,0.0,0.0,3600.0,21706.0,0.0,3.618652045e-10,linear,3600.0,0.0,3600.0,0.0,14400.0,55968.0,3600.0,55969.0,0.0,10800.0,0.0,linear,LMQ,27642056.81,3600.0,0.000142569472488,0.000277777777778,0.0,0.0
34,QPLIB_10014,0.0,0.0,10800.0,0.0,0.0,indefinite,169512.0,10800.0,18113.0,3600.0,1.0,min,3600.0,10800.0,0.0,183912.0,0.0,1.0,0.0,Solution found by GUROBI,10800.0,Fabio Furini and Antonio Frangioni,0.0,10800.0,1.0,59434.0,0.0,0.0,0.0,3600.0,21713.0,0.0,5.820766091e-11,linear,3600.0,0.0,3600.0,0.0,14400.0,55834.0,3600.0,55835.0,0.0,10800.0,0.0,linear,LMQ,25579413.86,3600.0,0.000142510862286,0.000277777777778,0.0,0.0
35,QPLIB_10015,0.0,0.0,10800.0,0.0,0.0,indefinite,156000.0,10800.0,23527.0,3600.0,1.0,min,3600.0,10800.0,0.0,170400.0,0.0,1.0,0.0,Solution found by ALPHAECP,10800.0,Fabio Furini and Antonio Frangioni,0.0,10800.0,1.0,53683.0,0.0,0.0,0.0,3600.0,27127.0,0.0,5.820766091e-11,linear,3600.0,0.0,3600.0,0.0,14400.0,50083.0,3600.0,50084.0,0.0,10800.0,0.0,linear,LMQ,27069722.86,3600.0,0.000117009993535,0.000277777777778,0.0,0.0
36,QPLIB_10016,0.0,0.0,10800.0,0.0,0.0,indefinite,157098.0,10800.0,23524.0,3600.0,1.0,min,3600.0,10800.0,0.0,171498.0,0.0,1.0,0.0,Solution found by CPLEX,10800.0,Fabio Furini and Antonio Frangioni,0.0,10800.0,1.0,54027.0,0.0,0.0,0.0,3600.0,27124.0,0.0,1.164153218e-10,linear,3600.0,0.0,3600.0,0.0,14400.0,50427.0,3600.0,50428.0,0.0,10800.0,0.0,linear,LMQ,29934289.13,3600.0,0.000117027097225,0.000277777777778,0.0,0.0
37,QPLIB_10017,0.0,0.0,14400.0,0.0,0.0,indefinite,226138.0,14400.0,24149.0,4800.0,1.0,min,4800.0,14400.0,0.0,245338.0,0.0,1.0,0.0,Solution found by GUROBI,14400.0,Fabio Furini and Antonio Frangioni,0.0,14400.0,1.0,79251.0,0.0,0.0,0.0,4800.0,28949.0,0.0,1.164153218e-10,linear,4800.0,0.0,4800.0,0.0,19200.0,74451.0,4800.0,74452.0,0.0,14400.0,0.0,linear,LMQ,31154937.63,4800.0,0.000106935283081,0.000208333333333,0.0,0.0
38,QPLIB_10018,0.0,0.0,14400.0,0.0,0.0,indefinite,228711.0,14400.0,24145.0,4800.0,1.0,min,4800.0,14400.0,0.0,247911.0,0.0,1.0,0.0,Solution found by GUROBI,14400.0,Fabio Furini and Antonio Frangioni,0.0,14400.0,1.0,80093.0,0.0,0.0,0.0,4800.0,28945.0,0.0,5.820766091e-11,linear,4800.0,0.0,4800.0,0.0,19200.0,75293.0,4800.0,75294.0,0.0,14400.0,0.0,linear,LMQ,34222560.14,4800.0,0.000106935587513,0.000208333333333,0.0,0.0
